ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,url,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,track_id,track_popularity,artist_id
12,0.652,0.813,6,-2.842,1,0.0268,0.00544,0,0.101,0.851,102.987,audio_features,0k11c8vwyeNSGQex6UMa1v,,https://api.spotify.com/v1/tracks/0k11c8vwyeNSGQex6UMa1v,https://api.spotify.com/v1/audio-analysis/0k11c8vwyeNSGQex6UMa1v,182161,4,Jon Pardi,Last Night Lonely,0k11c8vwyeNSGQex6UMa1v,73,4MoAOfV4ROWofLG3a3hhBN
13,0.527,0.461,7,-5.908,1,0.0269,0.118,0,0.0831,0.227,128.153,audio_features,2ccuOtUjIyx3tPcsnpeBzJ,,https://api.spotify.com/v1/tracks/2ccuOtUjIyx3tPcsnpeBzJ,https://api.spotify.com/v1/audio-analysis/2ccuOtUjIyx3tPcsnpeBzJ,214405,3,ERNEST,Flower Shops (feat. Morgan Wallen),2ccuOtUjIyx3tPcsnpeBzJ,71,4GGfAshSkqoxpZdoaHm7ky
14,0.466,0.0918,10,-26.813,1,0.0269,0.929,0.803,0.439,0.0841,95.014,audio_features,4xF4ZBGPZKxECeDFrqSAG4,,https://api.spotify.com/v1/tracks/4xF4ZBGPZKxECeDFrqSAG4,https://api.spotify.com/v1/audio-analysis/4xF4ZBGPZKxECeDFrqSAG4,124066,4,?_neheart,snowfall,4xF4ZBGPZKxECeDFrqSAG4,87,0dgJbQ0bKPyUXco8hEXN7X
15,0.527,0.461,7,-5.908,1,0.0269,0.118,0,0.0831,0.227,128.153,audio_features,0De9jFjJ4eRLl7Yww2eBw1,,https://api.spotify.com/v1/tracks/0De9jFjJ4eRLl7Yww2eBw1,https://api.spotify.com/v1/audio-analysis/0De9jFjJ4eRLl7Yww2eBw1,214405,3,ERNEST,Flower Shops (feat. Morgan Wallen),0De9jFjJ4eRLl7Yww2eBw1,76,4GGfAshSkqoxpZdoaHm7ky
16,0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,audio_features,5zFglKYiknIxks8geR8rcL,,https://api.spotify.com/v1/tracks/5zFglKYiknIxks8geR8rcL,https://api.spotify.com/v1/audio-analysis/5zFglKYiknIxks8geR8rcL,227395,4,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,80,04gDigrS5kc9YWfZHwBETP
17,0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,audio_features,0HAqq2GcQKyi3s87GuN7jU,,https://api.spotify.com/v1/tracks/0HAqq2GcQKyi3s87GuN7jU,https://api.spotify.com/v1/audio-analysis/0HAqq2GcQKyi3s87GuN7jU,228922,4,Clairo,Amoeba,0HAqq2GcQKyi3s87GuN7jU,74,3l0CmX0FuQjFxr8SK7Vqag
18,0.648,0.781,9,-8.736,0,0.0271,0.0332,0.013,0.305,0.822,133.417,audio_features,6RiiSy9GzSwiyDEJDiMuKe,,https://api.spotify.com/v1/tracks/6RiiSy9GzSwiyDEJDiMuKe,https://api.spotify.com/v1/audio-analysis/6RiiSy9GzSwiyDEJDiMuKe,153313,4,Eyedress,Something About You,6RiiSy9GzSwiyDEJDiMuKe,83,3XxNRirzbjfLdDli06zMaB
19,0.57,0.67,1,-6.519,1,0.0274,0.426,0,0.108,0.593,140.924,audio_features,0bILU0UiNDmA5Ff6whhb2R,,https://api.spotify.com/v1/tracks/0bILU0UiNDmA5Ff6whhb2R,https://api.spotify.com/v1/audio-analysis/0bILU0UiNDmA5Ff6whhb2R,178723,4,Bailey Zimmerman,Religiously,0bILU0UiNDmA5Ff6whhb2R,84,3win9vGIxFfBRag9S63wwf
20,0.606,0.377,0,-9.455,1,0.0275,0.817,0,0.154,0.446,101.96,audio_features,01K4zKU104LyJ8gMb7227B,,https://api.spotify.com/v1/tracks/01K4zKU104LyJ8gMb7227B,https://api.spotify.com/v1/audio-analysis/01K4zKU104LyJ8gMb7227B,258813,4,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor???Version) (From The Vault),01K4zKU104LyJ8gMb7227B,78,06HL4z0CvFAxyc27GXpf02
21,0.565,0.56,6,-6.034,1,0.0275,0.538,0,0.0961,0.325,159.931,audio_features,67AdiJcurlf6gocGobfaXs,,https://api.spotify.com/v1/tracks/67AdiJcurlf6gocGobfaXs,https://api.spotify.com/v1/audio-analysis/67AdiJcurlf6gocGobfaXs,177267,4,Luke Combs,"Going, Going, Gone",67AdiJcurlf6gocGobfaXs,79,718COspgdWOnwOFpJHRZHS
22,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,audio_features,1TE8AAk9koG0UJco6ZAUfx,,https://api.spotify.com/v1/tracks/1TE8AAk9koG0UJco6ZAUfx,https://api.spotify.com/v1/audio-analysis/1TE8AAk9koG0UJco6ZAUfx,207541,3,Bailey Zimmerman,Rock and A Hard Place,1TE8AAk9koG0UJco6ZAUfx,82,3win9vGIxFfBRag9S63wwf
23,0.665,0.296,7,-8.64,1,0.0276,0.744,0,0.0922,0.539,89.142,audio_features,1JcIXOir94YUYBt2cXTzn2,,https://api.spotify.com/v1/tracks/1JcIXOir94YUYBt2cXTzn2,https://api.spotify.com/v1/audio-analysis/1JcIXOir94YUYBt2cXTzn2,255144,4,Noah Kahan,Growing Sideways,1JcIXOir94YUYBt2cXTzn2,73,2RQXRUsr4IW1f3mKyKsy4B
24,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47E-06,0.0942,0.464,102.025,audio_features,48UKTR66uUOT9LaUvooTNx,,https://api.spotify.com/v1/tracks/48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/audio-analysis/48UKTR66uUOT9LaUvooTNx,224427,4,Luke Combs,The Kind of Love We Make,48UKTR66uUOT9LaUvooTNx,82,718COspgdWOnwOFpJHRZHS
25,0.421,0.394,11,-8.312,1,0.0277,0.863,4.74E-06,0.0984,0.399,96.192,audio_features,0EF1EE8zusg3Y869e56JFd,,https://api.spotify.com/v1/tracks/0EF1EE8zusg3Y869e56JFd,https://api.spotify.com/v1/audio-analysis/0EF1EE8zusg3Y869e56JFd,211000,3,Rio Romeo,Nothing's New,0EF1EE8zusg3Y869e56JFd,80,22y08IZx7u6SWpsfap1Cub
26,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47E-06,0.0942,0.464,102.025,audio_features,28n8z9IQKyjMPxmvYMBqZa,,https://api.spotify.com/v1/tracks/28n8z9IQKyjMPxmvYMBqZa,https://api.spotify.com/v1/audio-analysis/28n8z9IQKyjMPxmvYMBqZa,224427,4,Luke Combs,The Kind of Love We Make,28n8z9IQKyjMPxmvYMBqZa,75,718COspgdWOnwOFpJHRZHS
27,0.327,0.452,9,-9.726,1,0.0277,0.344,0.00332,0.11,0.202,132.427,audio_features,4qG7hWhljsqqENL5PaLA2z,,https://api.spotify.com/v1/tracks/4qG7hWhljsqqENL5PaLA2z,https://api.spotify.com/v1/audio-analysis/4qG7hWhljsqqENL5PaLA2z,278126,4,Lana Del Rey,Let The Light In (feat. Father John Misty),4qG7hWhljsqqENL5PaLA2z,83,00FQb4jTyendYWaN8pK0wa
